Taxa,oil_content_pct,seed_weight_1000_g,height_cm_mean,head_diameter_cm_mean,hull_pct,emergence_to_flowering_days,central_to_side_flowering_days,self_fertility_self_pollination_mean,self_fertility_open_pollination_mean
1.0,41.32988607860591,26.99854091834299,99.06437464016193,12.035704123127173,31.1766402737419,47.199415815294266,13.709341616469105,244.4284716845877,417.54026245596384
10.0,44.49687734610586,37.7934394324201,102.1249734565749,9.919654753224608,26.510314489834794,50.57652637401084,14.54486579682748,193.54324278884548,403.69065780173634
11.0,49.05351742414238,29.64218953403535,129.4910767189281,11.239418253682025,27.17693245896438,54.37577575256698,13.987849676588564,361.00194115655927,511.4711383244181
12.0,47.15311777074326,32.94675030365079,124.1600176418463,10.858398665683858,29.843404335482727,57.33074749144398,13.987849676588564,196.75832433090886,507.7328266305683
13.0,51.018703429361906,33.82796650888157,131.57611315796453,11.609393795651258,25.84369652070521,54.16470634264719,14.962627887006668,460.59105233754576,821.9762084135817
14.0,45.66303167887351,30.743709790573824,137.4628947570209,12.784078691455878,28.732374386933415,55.00898398232634,14.68411982688721,671.9432951449257,992.4071897331921
15.0,46.28929974647094,38.2340475350355,97.55210944823365,11.664614025795919,27.621344438384106,52.89828988312848,13.709341616469105,245.76871369163052,658.8416908819671
16.0,49.67978549173981,32.285838149727695,95.01689468713252,14.226832704508228,29.398992356063,55.008983982326335,13.570087586409375,397.387254217959,981.3724142513462
17.0,49.26947193021045,31.84523004711231,140.23217352608546,14.510296552584157,28.954580376643275,57.54181690136377,13.987849676588564,508.0723175502128,1024.9259974796928
18.0,49.593403689312574,30.96401384188152,131.1377816338489,14.878431420215232,29.843404335482727,57.54181690136377,14.40561176676775,489.82084855228015,1124.2389768163052
19.0,50.00371725084192,32.72644625234309,135.80542002578275,14.987031206166401,30.065610325192594,56.908608671604405,13.709341616469105,488.1937036255042,1060.9579174204137
2.0,49.26947193021045,35.37009486803545,123.35443538130951,12.073243728866416,27.17693245896438,51.84294283352955,13.709341616469105,399.5437113498308,528.8114997958901
20.0,47.585026782879424,19.948811276496716,107.78774287623068,10.527077284815885,30.51002230461231,55.00898398232634,13.570087586409375,325.3223777019539,643.3479653074571
21.0,49.52861733749215,31.404621944496913,114.8049961947302,12.750611885307599,28.954580376643275,56.48646985176484,13.709341616469105,308.8548868767515,748.0657326351776
22.0,45.317504469164575,33.60766245757388,100.01229448899063,10.48198076353108,27.621344438384106,54.79791457240655,13.013071466170459,240.8284664440698,424.9044506668358
23.0,49.593403689312574,39.77617589418937,98.73678924314069,11.786098532114176,26.732520479544654,54.16470634264719,15.241135947126127,324.45979484920525,561.7807065416498
24.0,46.28929974647094,28.320365226189168,81.29830266210871,11.598349749622324,29.843404335482727,53.10935929304827,15.658898037305317,431.6161101474871,852.0628615640837
