trait,n,n_combinations,plots_per_combination,s2_line,s2_tester_x_line,s2_year_x_line,s2_year_x_tester_x_line,s2_error,baker_REML,std_error,baker_moments,plot_repeatability,H2_of_combination_mean
seed_yield,963,162,3.0,0.0199759596796475,0.0509483580939844,0.0758185451114145,0.029533946179698,0.2578473165258121,0.4395137229347775,0.3057081765677772,0.438883858356083,0.1633733616558416,0.425779788739654
oil_content,957,162,2.981308411214953,3.987538704370829,0.3520954737889959,0.1688519003671532,0.0909000645477214,2.129856497153445,0.9577172854754046,0.016393622322912,0.955989830528064,0.644891915802979,0.8990870719046543
seed_weight_1000,962,162,2.9968847352024923,74.0383067116389,7.608239340104748,0.351426468277808,7.0749479009743,25.38318250282072,0.9511305100974202,0.0178264491026544,0.95199866054953,0.7133437533347496,0.9112880708770852
plant_height,806,162,2.503105590062112,70.48829995907064,10.151189381145102,7.852777418858866,7.649943859110974,52.36742214607868,0.932830424978677,0.0294455356384712,0.9264244025060928,0.542991641951053,0.8157652625786891
head_diameter,804,162,2.496894409937888,0.2891066405136783,0.1433716447048737,0.2102474370215926,0.2846689037048365,1.872647141624211,0.8013100889553826,0.1666444355954465,0.8265299411386637,0.1544542264432007,0.4099585579259649
