father,seed_yield,oil_content,seed_weight_1000,plant_height,head_diameter,days_emergence_flowering,selection_index,confectionery
LI18,1.8506364335586047,0.6603266010824818,-0.0799074856938732,0.0,1.4546609277705385,-1.1128539645647182,0.8163679815932151,False
LI6,1.5543092278157522,0.2225872216175287,0.1845012839893443,-0.0,-0.0388522853276778,1.2590591936279176,0.8142081751311262,False
LI19,1.2346699872334352,0.9642348326855456,-0.6013803370135474,0.0,2.869911439745709,-1.3839297540724425,0.7406685924997156,False
LI41,1.3163822742995914,0.5934110271515372,-0.3186098472134433,0.0,0.4307239214106285,0.2764094566623918,0.6914299300693955,False
LI53,1.4550528320559806,0.4707324749447971,-0.259852342839394,0.0,1.5948816006160074,-0.9773160698108496,0.6373937490090662,False
LI11,0.972229347597429,0.2086464770485843,0.2781460565854809,0.0,0.4709422539321948,0.2764094566623918,0.5192444643248019,False
LI16,1.226979419038975,0.4344865390655331,-0.5242611125226101,0.0,1.473139621091261,-1.1128539645647182,0.4877485145554584,False
LI33,0.837163743682195,0.1807649879106848,0.5278654501751843,-0.0,-0.1986386334539041,0.3441784040393305,0.4317862489400013,False
LI39,0.9034948943594264,0.3842998586173211,-0.0615457655769828,-0.0,0.0981074416376613,-0.1640887012876595,0.4105560330239145,False
LI17,0.7256505048625016,0.7551236641513259,-0.5811824448849681,0.0,1.361180479206895,-1.2822763330070452,0.3661731294284093,False
LI23,0.7487222094458852,-0.1928469665371081,1.1962320624299785,-0.0,-0.0616789064885649,0.0731026145315932,0.3286193911188076,False
LI2,0.0767588134547915,0.7746407065478538,-0.1441735061029876,-0.0,-0.4028924254000468,0.6491386672355262,0.3019220036085586,False
LI7,-0.3601615920930635,0.6798436434790096,-0.4397971999849164,-0.0,2.2590275782018945,0.2425249829739333,0.2961983210789184,False
LI26,-0.1832785236204435,-0.0771387866148438,0.436056849590735,-0.0,0.1815580112063706,2.0384020884626364,0.2802326800974976,False
LI37,1.257982022072898,-0.194241040994004,-1.0595052539299523,0.0,0.6084454718775556,-0.5029334381723267,0.2614754014962243,False
LI21,1.0549029556878944,-0.2513980937266882,0.8675572723376497,-0.0,-0.7073461907537336,-0.5029334381723267,0.2343776988052991,False
LI25,1.0734083854058163,-0.2541862426404799,0.9465126688402764,-0.0,-0.5932130849492857,-0.8417781750569939,0.2085002942304417,False
LI45,0.2959400069969528,0.8331918337374339,-0.0799074856938732,0.0,-0.3551640357000049,-0.7062402803031254,0.204093358385307,False
LI8,0.3555419105040275,0.4930376662551131,-0.6895165935746197,-0.0,0.7198611227818996,-0.7062402803031254,0.1694493794282027,False
LI27,1.0750906971983574,-0.4019581350713206,0.0192458029373315,-0.0,-0.1725510664128832,-0.5707023855492567,0.1547584193180852,False
LI46,0.5117565769540336,0.7885814511168018,-0.0101329492496907,0.0,0.0100619028742301,-1.9260813330879083,0.12676993266822,False
LI14,0.2959400069969528,0.311807986858793,-0.1680437422549447,0.0,0.227458294882702,-0.5707023855492567,0.1174574959369586,False
LI4,0.0061017181681746,0.5543769423584815,-0.3736950075641131,-0.0,-1.8845476534796188,1.123521298874049,0.1111526127931396,False
LI13,-0.3433384741676797,0.5432243467033252,0.239586444340011,0.0,-0.121462914290897,0.3102939303508633,0.1011552806098505,False
LI3,-0.3221894116329105,0.5181310064792174,-1.0549148239007295,-0.0,-0.5062545281458978,1.3945970883817775,0.0957456359248504,False
LI52,0.1647196871789475,0.3257487314277409,0.4213674734972223,0.0,-0.4692971415044528,-1.011200543499321,-0.0010965383846672,False
LI54,0.8015948657828104,-0.7421123025536414,0.3717908291816206,-0.0,-0.6040829045497097,-0.2996265960415281,-0.0102486846851469,False
LI35,0.2603711290975652,-0.4744500068298487,-0.1882416343835241,-0.0,0.0162873450090167,0.3780628777277889,-0.0116911041430891,False
LI42,-0.3798686730913723,0.5432243467033252,-1.273419293291721,0.0,0.3589831120478333,0.2086405092854618,-0.0301342733025522,False
LI51,-0.112621428333828,0.3313250292553208,-0.489373844300518,0.0,1.234003589881937,-1.1467384382531896,-0.03756778232008,False
LI48,0.1671229897397187,-0.0004646914856317,-0.7464379259369777,0.0,-0.3486421439397538,-0.0963197539107339,-0.0656023311110712,False
LI43,-0.021295931024593,-0.2179403067612159,-1.0053381795851273,0.0,1.206829040880881,-0.0963197539107339,-0.067134544844007,False
LI15,-0.5351220185170691,0.0915442226694206,0.2487673043984571,-0.0,0.2165884752822821,0.2086405092854618,-0.0819977853192547,False
LI12,0.6631646382824988,-0.9121893862948016,0.691284759215505,0.0,-0.1002173577991591,-0.774009227680051,-0.0985438364999389,False
LI38,-0.5245474872496823,0.8304036848236457,-1.1926277247774044,-0.0,-0.5116894379461057,-0.0285508065338039,-0.1091848523427166,False
LI40,-1.0071306414521564,0.9642348326855384,-0.902512546930543,-0.0,1.0046503963129978,-0.4690489644838552,-0.1233688344369259,False
LI5,-1.6915912107592508,1.3685164251850226,-0.5114079084407871,-0.0,-0.6845195695928423,1.0557523514971234,-0.1427318912890253,False
LI28,-0.1251186016498277,-0.0367106273648957,0.2781460565854809,-0.0,-0.8736544306402152,-0.197973174976131,-0.1440515124388015,False
LI34,-0.83313153605246,-0.1789062219681601,0.5076675580466049,0.0,-0.2084214710942849,1.123521298874049,-0.1468151006824697,False
LI20,-0.2524936373706,0.4456391347206929,-1.511203568805445,0.0,0.3247431803064964,-0.5537601487050274,-0.1563910938191511,False
LI24,-0.4216861376487583,0.1974938813934209,-0.5903633049434133,-0.0,-0.2758143526169154,-0.0285508065338039,-0.1792423704951425,False
LI32,-0.9432027933356932,0.777428855461642,-0.5150802524641649,0.0,0.0111488848342733,-0.3335110697299996,-0.1973121182514891,False
LI22,-0.4716748309127598,-0.471661857916057,0.5847867825375431,-0.0,-0.9127857812017424,0.4458318251047319,-0.2725098742949932,False
LI50,0.0075436997046379,-0.677984877536485,1.106259633857218,0.0,-0.6421272731511938,-1.2822763330070452,-0.3466833822447766,False
LI49,-1.2738972256975496,0.749547366323746,-1.181610692707271,-0.0,-1.3595353667791534,0.3780628777277889,-0.4184049933864927,False
LI1,-1.8189662464800231,-1.138029448311754,1.104423461845529,-0.0,1.380746154487657,2.004517614774169,-0.4288524169120901,False
LI9,-0.8153470971027684,-0.6333744949158493,-0.3369715673303322,-0.0,-2.063899676886611,1.665672877889515,-0.4656200251989909,False
LI47,-0.4952271960082988,-0.0032528403994163,-0.4214354798680275,0.0,-0.4921237626653441,-1.519467648826311,-0.4935814423000132,False
LI31,-0.8884074949501536,-0.9261301308637496,-0.048692561495159,0.0,0.7144262129816876,-0.130204227599201,-0.541738931482906,False
LI44,-0.9494513799936946,0.1640360944279522,-1.3909343020398164,0.0,-0.6453882190313193,-0.6384713329261953,-0.5825001067154503,False
LI36,-2.232334286932341,-0.672408579708905,0.4489100536725589,-0.0,-0.5638645720281392,1.767326298954912,-0.7294360813313119,False
LI29,0.2332138101608724,-3.892720575135799,3.959670940021919,0.0,-1.7149784677130118,0.6830231409239846,-0.7592686206149458,True
LI10,-3.0196562058403607,-0.3406188589679524,0.8822466484311606,-0.0,-1.89433049112,2.851629456985826,-0.8325292954555221,False
LI30,-1.1047047254193898,-4.469867400290228,3.451051292784068,0.0,-0.8203923145981425,0.2086405092854618,-1.433244899772443,True
