trait,n,n_lines,n_years,records_per_line_year,s2g_published,s2e_published,H2_published,identifiable,s2g,s2gy,s2e,LR,p_LR,H2_corrected
plant_height,2140,52,4,10.288461538461538,259.846984108741,81.38624693334329,0.9273839028940246,True,249.3378413492993,49.47622758191146,44.36613486086749,881.1314638211807,6.20343069418725e-194,0.9488284534122352
head_diameter,2140,52,4,10.288461538461538,2.444967237717393,2.4795631238111744,0.7977424150885272,True,2.2179916721155863,0.995323228627847,1.738310058712771,446.90168023617207,1.703612506186875e-99,0.883992447592118
autofertility_self,1017,52,4,4.889423076923077,20748.156311957016,27107.38170803517,0.7537930972256709,True,17485.76152289409,14638.52037561254,15710.786741219074,264.7475088860956,7.919136345132294e-60,0.7966651525224246
autofertility_open,1034,52,4,4.971153846153846,47512.16502895988,29717.32517298165,0.8647774125102822,True,43990.59501736134,15871.359518780346,17426.107777990244,262.2373484973559,2.791293340845984e-59,0.900804312199969
days_emergence_flowering,208,52,4,1.0,10.425402177906165,2.45902463799255,0.944316363886256,False,,,,,,
days_central_to_side,208,52,4,1.0,1.3319506848651794,1.93190675144082,0.7338864931355664,False,,,,,,
hull_content,208,52,4,1.0,4.681058418891127,6.988719173024231,0.7282023883379924,False,,,,,,
seed_weight_1000,208,52,4,1.0,34.0955878244849,16.473133541146055,0.8922306676892382,False,,,,,,
oil_content,207,52,4,0.9951923076923076,8.252076658349612,5.203455354238087,0.8638258200205038,False,,,,,,
