rule,n_markers,panel_het_pct,r_all,p_all,n,r_VK101A,p_VK101A,r_VA761A,p_VA761A,r_VK934A,p_VK934A
hom,161910,1.583335771334952,0.2612952086652988,0.0007835717537071,162,0.211485167912349,0.1247469478669547,0.1837191219226125,0.1835789576818785,0.4471171749153237,0.0007001101789433
het,161826,2.3328066684576307,0.2609317050005547,0.0007974091995002,162,0.2070591834488654,0.133019948148319,0.1821356366389975,0.1874509816521669,0.4461834136932833,0.0007206303804217
miss,160226,1.5808153439407189,0.2581633754501996,0.0009103909369919,162,0.2036872848013049,0.139594387262039,0.1781788228450443,0.1973814450585274,0.4388937314532334,0.0009004171451178
