trait,year,mother,line,replicate,value
seed_yield,2022,M1,LI1,1,2.434224489795918
oil_content,2022,M1,LI1,1,45.7
seed_weight_1000,2022,M1,LI1,1,72.80000000000001
seed_yield,2022,M1,LI1,2,3.0015
oil_content,2022,M1,LI1,2,45.2
seed_weight_1000,2022,M1,LI1,2,74.19999999999999
seed_yield,2022,M1,LI1,3,3.238530612244898
oil_content,2022,M1,LI1,3,45.4
seed_weight_1000,2022,M1,LI1,3,72.3
seed_yield,2022,M1,LI2,1,2.399602040816327
oil_content,2022,M1,LI2,1,51.0
seed_weight_1000,2022,M1,LI2,1,58.6
seed_yield,2022,M1,LI2,2,3.081397959183673
oil_content,2022,M1,LI2,2,52.5
seed_weight_1000,2022,M1,LI2,2,57.9
seed_yield,2022,M1,LI2,3,2.812408163265306
oil_content,2022,M1,LI2,3,53.7
seed_weight_1000,2022,M1,LI2,3,55.2
seed_yield,2022,M1,LI3,1,3.350387755102041
oil_content,2022,M1,LI3,1,50.5
seed_weight_1000,2022,M1,LI3,1,56.8
seed_yield,2022,M1,LI3,2,2.695224489795919
oil_content,2022,M1,LI3,2,49.6
seed_weight_1000,2022,M1,LI3,2,56.4
seed_yield,2022,M1,LI3,3,2.849693877551021
oil_content,2022,M1,LI3,3,50.2
seed_weight_1000,2022,M1,LI3,3,59.0
seed_yield,2022,M1,LI4,1,3.651336734693878
oil_content,2022,M1,LI4,1,50.0
seed_weight_1000,2022,M1,LI4,1,57.4
seed_yield,2022,M1,LI4,2,3.227877551020408
oil_content,2022,M1,LI4,2,51.2
seed_weight_1000,2022,M1,LI4,2,52.90000000000001
seed_yield,2022,M1,LI4,3,3.0015
oil_content,2022,M1,LI4,3,50.2
seed_weight_1000,2022,M1,LI4,3,55.8
seed_yield,2022,M1,LI5,1,2.452867346938776
oil_content,2022,M1,LI5,1,51.5
seed_weight_1000,2022,M1,LI5,1,53.8
seed_yield,2022,M1,LI5,2,2.484826530612245
oil_content,2022,M1,LI5,2,53.7
seed_weight_1000,2022,M1,LI5,2,54.7
seed_yield,2022,M1,LI5,3,1.813683673469388
oil_content,2022,M1,LI5,3,52.7
seed_weight_1000,2022,M1,LI5,3,63.40000000000001
seed_yield,2022,M1,LI6,1,4.452979591836735
oil_content,2022,M1,LI6,1,52.8
seed_weight_1000,2022,M1,LI6,1,56.8
seed_yield,2022,M1,LI6,2,3.459581632653061
oil_content,2022,M1,LI6,2,49.7
seed_weight_1000,2022,M1,LI6,2,58.4
seed_yield,2022,M1,LI6,3,3.105367346938776
oil_content,2022,M1,LI6,3,49.6
seed_weight_1000,2022,M1,LI6,3,63.6
seed_yield,2022,M1,LI7,1,2.253122448979592
oil_content,2022,M1,LI7,1,50.5
seed_weight_1000,2022,M1,LI7,1,53.6
seed_yield,2022,M1,LI7,2,3.32641836734694
oil_content,2022,M1,LI7,2,54.1
seed_weight_1000,2022,M1,LI7,2,57.8
seed_yield,2022,M1,LI7,3,2.633969387755102
oil_content,2022,M1,LI7,3,52.3
seed_weight_1000,2022,M1,LI7,3,53.9
seed_yield,2022,M1,LI8,1,2.988183673469388
oil_content,2022,M1,LI8,1,52.0
seed_weight_1000,2022,M1,LI8,1,56.1
seed_yield,2022,M1,LI8,2,3.53415306122449
oil_content,2022,M1,LI8,2,52.1
seed_weight_1000,2022,M1,LI8,2,59.6
seed_yield,2022,M1,LI8,3,4.511571428571428
oil_content,2022,M1,LI8,3,50.8
seed_weight_1000,2022,M1,LI8,3,58.90000000000001
seed_yield,2022,M1,LI9,1,2.977530612244899
oil_content,2022,M1,LI9,1,51.4
seed_weight_1000,2022,M1,LI9,1,50.0
seed_yield,2022,M1,LI9,2,2.463520408163265
oil_content,2022,M1,LI9,2,48.5
seed_weight_1000,2022,M1,LI9,2,48.2
seed_yield,2022,M1,LI9,3,3.203908163265306
oil_content,2022,M1,LI9,3,47.8
seed_weight_1000,2022,M1,LI9,3,47.3
seed_yield,2022,M1,LI10,1,2.290408163265306
oil_content,2022,M1,LI10,1,50.5
seed_weight_1000,2022,M1,LI10,1,60.6
seed_yield,2022,M1,LI10,2,2.205183673469388
oil_content,2022,M1,LI10,2,51.3
seed_weight_1000,2022,M1,LI10,2,61.4
seed_yield,2022,M1,LI10,3,1.829663265306123
oil_content,2022,M1,LI10,3,50.6
seed_weight_1000,2022,M1,LI10,3,67.4
seed_yield,2022,M1,LI11,1,3.006826530612245
oil_content,2022,M1,LI11,1,51.8
seed_weight_1000,2022,M1,LI11,1,60.1
seed_yield,2022,M1,LI11,2,2.825724489795919
oil_content,2022,M1,LI11,2,51.8
seed_weight_1000,2022,M1,LI11,2,54.7
seed_yield,2022,M1,LI11,3,2.956224489795919
oil_content,2022,M1,LI11,3,51.7
seed_weight_1000,2022,M1,LI11,3,59.7
seed_yield,2022,M1,LI12,1,4.178663265306123
oil_content,2022,M1,LI12,1,49.7
seed_weight_1000,2022,M1,LI12,1,68.2
seed_yield,2022,M1,LI12,2,3.733897959183674
oil_content,2022,M1,LI12,2,47.9
seed_weight_1000,2022,M1,LI12,2,74.4
seed_yield,2022,M1,LI12,3,4.349112244897959
oil_content,2022,M1,LI12,3,46.0
seed_weight_1000,2022,M1,LI12,3,63.0
seed_yield,2022,M1,LI13,1,2.567387755102041
oil_content,2022,M1,LI13,1,49.9
seed_weight_1000,2022,M1,LI13,1,64.7
seed_yield,2022,M1,LI13,2,3.163959183673469
oil_content,2022,M1,LI13,2,48.8
seed_weight_1000,2022,M1,LI13,2,68.4
seed_yield,2022,M1,LI13,3,2.823061224489796
oil_content,2022,M1,LI13,3,50.8
seed_weight_1000,2022,M1,LI13,3,64.19999999999999
seed_yield,2022,M1,LI14,1,3.456918367346939
oil_content,2022,M1,LI14,1,51.2
seed_weight_1000,2022,M1,LI14,1,54.6
seed_yield,2022,M1,LI14,2,3.430285714285715
oil_content,2022,M1,LI14,2,50.9
seed_weight_1000,2022,M1,LI14,2,58.5
seed_yield,2022,M1,LI14,3,3.616714285714286
oil_content,2022,M1,LI14,3,50.6
seed_weight_1000,2022,M1,LI14,3,60.0
seed_yield,2022,M1,LI15,1,2.261112244897959
oil_content,2022,M1,LI15,1,49.9
seed_weight_1000,2022,M1,LI15,1,58.0
seed_yield,2022,M1,LI15,2,1.992122448979592
oil_content,2022,M1,LI15,2,46.7
seed_weight_1000,2022,M1,LI15,2,69.1
seed_yield,2022,M1,LI15,3,2.048051020408163
oil_content,2022,M1,LI15,3,46.5
seed_weight_1000,2022,M1,LI15,3,72.1
seed_yield,2022,M1,LI16,1,3.371693877551021
oil_content,2022,M1,LI16,1,53.8
seed_weight_1000,2022,M1,LI16,1,57.9
seed_yield,2022,M1,LI16,2,3.603397959183674
oil_content,2022,M1,LI16,2,51.1
seed_weight_1000,2022,M1,LI16,2,63.3
seed_yield,2022,M1,LI16,3,4.178663265306123
oil_content,2022,M1,LI16,3,50.4
seed_weight_1000,2022,M1,LI16,3,64.8
seed_yield,2022,M1,LI17,1,4.218612244897959
oil_content,2022,M1,LI17,1,53.6
seed_weight_1000,2022,M1,LI17,1,55.3
seed_yield,2022,M1,LI17,2,3.496867346938776
oil_content,2022,M1,LI17,2,52.8
seed_weight_1000,2022,M1,LI17,2,53.3
seed_yield,2022,M1,LI17,3,2.839040816326531
oil_content,2022,M1,LI17,3,51.3
seed_weight_1000,2022,M1,LI17,3,61.8
seed_yield,2022,M1,LI18,1,3.896357142857143
oil_content,2022,M1,LI18,1,54.2
seed_weight_1000,2022,M1,LI18,1,54.6
seed_yield,2022,M1,LI18,2,3.246520408163266
oil_content,2022,M1,LI18,2,53.0
seed_weight_1000,2022,M1,LI18,2,57.7
seed_yield,2022,M1,LI18,3,3.619377551020409
oil_content,2022,M1,LI18,3,51.5
seed_weight_1000,2022,M1,LI18,3,59.3
seed_yield,2022,M1,LI19,1,3.989571428571429
oil_content,2022,M1,LI19,1,52.8
seed_weight_1000,2022,M1,LI19,1,56.1
seed_yield,2022,M1,LI19,2,3.821785714285715
oil_content,2022,M1,LI19,2,51.7
seed_weight_1000,2022,M1,LI19,2,56.2
seed_yield,2022,M1,LI19,3,4.330469387755102
oil_content,2022,M1,LI19,3,53.0
seed_weight_1000,2022,M1,LI19,3,56.7
seed_yield,2022,M1,LI20,1,1.693836734693878
oil_content,2022,M1,LI20,1,52.3
seed_weight_1000,2022,M1,LI20,1,59.4
seed_yield,2022,M1,LI20,2,2.49015306122449
oil_content,2022,M1,LI20,2,48.4
seed_weight_1000,2022,M1,LI20,2,59.40000000000001
seed_yield,2022,M1,LI20,3,2.982857142857144
oil_content,2022,M1,LI20,3,49.1
seed_weight_1000,2022,M1,LI20,3,55.6
seed_yield,2022,M1,LI21,1,3.731234693877551
oil_content,2022,M1,LI21,1,47.3
seed_weight_1000,2022,M1,LI21,1,71.6
seed_yield,2022,M1,LI21,2,3.350387755102041
oil_content,2022,M1,LI21,2,49.1
seed_weight_1000,2022,M1,LI21,2,66.19999999999999
seed_yield,2022,M1,LI21,3,4.000224489795919
oil_content,2022,M1,LI21,3,49.4
seed_weight_1000,2022,M1,LI21,3,78.1
seed_yield,2022,M1,LI22,1,3.94695918367347
oil_content,2022,M1,LI22,1,48.7
seed_weight_1000,2022,M1,LI22,1,70.6
seed_yield,2022,M1,LI22,2,2.916275510204082
oil_content,2022,M1,LI22,2,49.4
seed_weight_1000,2022,M1,LI22,2,62.0
seed_yield,2022,M1,LI22,3,3.646010204081633
oil_content,2022,M1,LI22,3,49.4
seed_weight_1000,2022,M1,LI22,3,70.1
seed_yield,2022,M1,LI23,1,3.163959183673469
oil_content,2022,M1,LI23,1,48.4
seed_weight_1000,2022,M1,LI23,1,87.30000000000001
seed_yield,2022,M1,LI23,2,3.371693877551021
oil_content,2022,M1,LI23,2,51.7
seed_weight_1000,2022,M1,LI23,2,75.9
seed_yield,2022,M1,LI23,3,3.374357142857142
oil_content,2022,M1,LI23,3,47.1
seed_weight_1000,2022,M1,LI23,3,80.2
seed_yield,2022,M1,LI24,1,1.406204081632653
oil_content,2022,M1,LI24,1,47.1
seed_weight_1000,2022,M1,LI24,1,74.0
seed_yield,2022,M1,LI24,2,2.78311224489796
oil_content,2022,M1,LI24,2,50.0
seed_weight_1000,2022,M1,LI24,2,58.2
seed_yield,2022,M1,LI24,3,2.972204081632653
oil_content,2022,M1,LI24,3,50.1
seed_weight_1000,2022,M1,LI24,3,61.90000000000001
seed_yield,2022,M1,LI25,1,4.234591836734695
oil_content,2022,M1,LI25,1,48.7
seed_weight_1000,2022,M1,LI25,1,81.0
seed_yield,2022,M1,LI25,2,3.060091836734694
oil_content,2022,M1,LI25,2,50.7
seed_weight_1000,2022,M1,LI25,2,70.8
seed_yield,2022,M1,LI25,3,3.907010204081633
oil_content,2022,M1,LI25,3,49.7
seed_weight_1000,2022,M1,LI25,3,76.30000000000001
seed_yield,2022,M1,LI26,1,3.848418367346939
oil_content,2022,M1,LI26,1,49.5
seed_weight_1000,2022,M1,LI26,1,62.6
seed_yield,2022,M1,LI26,2,2.849693877551021
oil_content,2022,M1,LI26,2,48.3
seed_weight_1000,2022,M1,LI26,2,57.2
seed_yield,2022,M1,LI26,3,2.878989795918367
oil_content,2022,M1,LI26,3,49.7
seed_weight_1000,2022,M1,LI26,3,60.7
seed_yield,2022,M1,LI27,1,3.483551020408164
oil_content,2022,M1,LI27,1,50.7
seed_weight_1000,2022,M1,LI27,1,65.6
seed_yield,2022,M1,LI27,2,3.486214285714286
oil_content,2022,M1,LI27,2,49.0
seed_weight_1000,2022,M1,LI27,2,60.5
seed_yield,2022,M1,LI27,3,3.542142857142858
oil_content,2022,M1,LI27,3,48.0
seed_weight_1000,2022,M1,LI27,3,60.9
seed_yield,2022,M1,LI28,1,3.632693877551021
oil_content,2022,M1,LI28,1,48.6
seed_weight_1000,2022,M1,LI28,1,71.3
seed_yield,2022,M1,LI28,2,2.743163265306123
oil_content,2022,M1,LI28,2,49.2
seed_weight_1000,2022,M1,LI28,2,58.1
seed_yield,2022,M1,LI28,3,3.504857142857143
oil_content,2022,M1,LI28,3,50.8
seed_weight_1000,2022,M1,LI28,3,61.1
seed_yield,2022,M1,LI29,1,4.458306122448979
oil_content,2022,M1,LI29,1,50.0
seed_weight_1000,2022,M1,LI29,1,109.7
seed_yield,2022,M1,LI29,2,3.214561224489796
oil_content,2022,M1,LI29,2,39.3
seed_weight_1000,2022,M1,LI29,2,103.1
seed_yield,2022,M1,LI29,3,4.258561224489796
oil_content,2022,M1,LI29,3,39.2
seed_weight_1000,2022,M1,LI29,3,102.1
seed_yield,2022,M1,LI30,1,2.237142857142857
oil_content,2022,M1,LI30,1,38.3
seed_weight_1000,2022,M1,LI30,1,95.9
seed_yield,2022,M1,LI30,2,1.888255102040816
oil_content,2022,M1,LI30,2,39.5
seed_weight_1000,2022,M1,LI30,2,99.8
seed_yield,2022,M1,LI30,3,3.709928571428571
oil_content,2022,M1,LI30,3,40.5
seed_weight_1000,2022,M1,LI30,3,99.0
seed_yield,2022,M1,LI31,1,3.241193877551021
oil_content,2022,M1,LI31,1,40.7
seed_weight_1000,2022,M1,LI31,1,67.5
seed_yield,2022,M1,LI31,2,2.673918367346939
oil_content,2022,M1,LI31,2,49.1
seed_weight_1000,2022,M1,LI31,2,67.1
seed_yield,2022,M1,LI31,3,3.2625
oil_content,2022,M1,LI31,3,50.4
seed_weight_1000,2022,M1,LI31,3,61.8
seed_yield,2022,M1,LI32,1,2.684571428571429
oil_content,2022,M1,LI32,1,49.5
seed_weight_1000,2022,M1,LI32,1,59.4
seed_yield,2022,M1,LI32,2,2.271765306122449
oil_content,2022,M1,LI32,2,50.6
seed_weight_1000,2022,M1,LI32,2,68.0
seed_yield,2022,M1,LI32,3,2.434224489795918
oil_content,2022,M1,LI32,3,52.3
seed_weight_1000,2022,M1,LI32,3,50.2
seed_yield,2022,M1,LI33,1,2.996173469387756
oil_content,2022,M1,LI33,1,51.1
seed_weight_1000,2022,M1,LI33,1,72.4
seed_yield,2022,M1,LI33,2,2.934918367346939
oil_content,2022,M1,LI33,2,46.3
seed_weight_1000,2022,M1,LI33,2,78.0
seed_yield,2022,M1,LI33,3,3.717918367346938
oil_content,2022,M1,LI33,3,50.1
seed_weight_1000,2022,M1,LI33,3,65.69999999999999
seed_yield,2022,M1,LI34,1,1.664540816326531
oil_content,2022,M1,LI34,1,47.6
seed_weight_1000,2022,M1,LI34,1,68.19999999999999
seed_yield,2022,M1,LI34,2,2.271765306122449
oil_content,2022,M1,LI34,2,48.6
seed_weight_1000,2022,M1,LI34,2,64.1
seed_yield,2022,M1,LI34,3,1.944183673469388
oil_content,2022,M1,LI34,3,50.6
seed_weight_1000,2022,M1,LI34,3,57.6
seed_yield,2022,M1,LI35,1,4.375744897959184
oil_content,2022,M1,LI35,1,48.8
seed_weight_1000,2022,M1,LI35,1,64.6
seed_yield,2022,M1,LI35,2,3.954948979591837
oil_content,2022,M1,LI35,2,47.6
seed_weight_1000,2022,M1,LI35,2,71.6
seed_yield,2022,M1,LI35,3,4.03484693877551
oil_content,2022,M1,LI35,3,48.6
seed_weight_1000,2022,M1,LI35,3,64.0
seed_yield,2022,M1,LI36,1,2.072020408163266
oil_content,2022,M1,LI36,1,48.2
seed_weight_1000,2022,M1,LI36,1,59.6
seed_yield,2022,M1,LI36,2,1.898908163265306
oil_content,2022,M1,LI36,2,46.8
seed_weight_1000,2022,M1,LI36,2,70.3
seed_yield,2022,M1,LI36,3,1.392887755102041
oil_content,2022,M1,LI36,3,48.3
seed_weight_1000,2022,M1,LI36,3,62.3
seed_yield,2022,M1,LI38,1,3.994897959183674
oil_content,2022,M1,LI38,1,48.6
seed_weight_1000,2022,M1,LI38,1,55.1
seed_yield,2022,M1,LI38,2,4.010877551020409
oil_content,2022,M1,LI38,2,51.6
seed_weight_1000,2022,M1,LI38,2,52.7
seed_yield,2022,M1,LI38,3,4.301173469387755
oil_content,2022,M1,LI38,3,51.8
seed_weight_1000,2022,M1,LI38,3,55.3
seed_yield,2022,M1,LI39,1,4.045500000000001
oil_content,2022,M1,LI39,1,51.0
seed_weight_1000,2022,M1,LI39,1,58.4
seed_yield,2022,M1,LI39,2,3.129336734693878
oil_content,2022,M1,LI39,2,49.2
seed_weight_1000,2022,M1,LI39,2,58.3
seed_yield,2022,M1,LI39,3,4.016204081632654
oil_content,2022,M1,LI39,3,50.7
seed_weight_1000,2022,M1,LI39,3,59.2
seed_yield,2022,M1,LI40,1,2.777785714285714
oil_content,2022,M1,LI40,1,50.9
seed_weight_1000,2022,M1,LI40,1,55.3
seed_yield,2022,M1,LI40,2,2.450204081632653
oil_content,2022,M1,LI40,2,51.8
seed_weight_1000,2022,M1,LI40,2,52.8
seed_yield,2022,M1,LI40,3,2.721857142857143
oil_content,2022,M1,LI40,3,53.0
seed_weight_1000,2022,M1,LI40,3,51.90000000000001
seed_yield,2022,M1,LI41,1,3.757867346938776
oil_content,2022,M1,LI41,1,52.6
seed_weight_1000,2022,M1,LI41,1,63.2
seed_yield,2022,M1,LI41,2,4.234591836734695
oil_content,2022,M1,LI41,2,51.1
seed_weight_1000,2022,M1,LI41,2,59.1
seed_yield,2022,M1,LI41,3,3.739224489795918
oil_content,2022,M1,LI41,3,51.7
seed_weight_1000,2022,M1,LI41,3,59.1
seed_yield,2022,M1,LI42,1,2.580704081632653
oil_content,2022,M1,LI42,1,50.9
seed_weight_1000,2022,M1,LI42,1,50.0
seed_yield,2022,M1,LI42,2,3.254510204081633
oil_content,2022,M1,LI42,2,50.8
seed_weight_1000,2022,M1,LI42,2,51.6
seed_yield,2022,M1,LI42,3,2.596683673469388
oil_content,2022,M1,LI42,3,50.9
seed_weight_1000,2022,M1,LI42,3,51.40000000000001
seed_yield,2022,M1,LI43,1,2.857683673469388
oil_content,2022,M1,LI43,1,50.6
seed_weight_1000,2022,M1,LI43,1,56.0
seed_yield,2022,M1,LI43,2,2.447540816326531
oil_content,2022,M1,LI43,2,49.6
seed_weight_1000,2022,M1,LI43,2,47.8
seed_yield,2022,M1,LI43,3,2.524775510204082
oil_content,2022,M1,LI43,3,49.2
seed_weight_1000,2022,M1,LI43,3,50.5
seed_yield,2022,M1,LI44,1,2.591357142857143
oil_content,2022,M1,LI44,1,49.4
seed_weight_1000,2022,M1,LI44,1,51.40000000000001
seed_yield,2022,M1,LI44,2,2.855020408163266
oil_content,2022,M1,LI44,2,51.1
seed_weight_1000,2022,M1,LI44,2,51.2
seed_yield,2022,M1,LI44,3,2.335683673469388
oil_content,2022,M1,LI44,3,48.9
seed_weight_1000,2022,M1,LI44,3,46.2
seed_yield,2022,M1,LI45,1,3.110693877551021
oil_content,2022,M1,LI45,1,51.0
seed_weight_1000,2022,M1,LI45,1,56.5
seed_yield,2022,M1,LI45,2,3.174612244897959
oil_content,2022,M1,LI45,2,55.0
seed_weight_1000,2022,M1,LI45,2,54.3
seed_yield,2022,M1,LI45,3,2.157244897959184
oil_content,2022,M1,LI45,3,52.9
seed_weight_1000,2022,M1,LI45,3,51.8
seed_yield,2022,M1,LI46,1,4.154693877551021
oil_content,2022,M1,LI46,1,52.6
seed_weight_1000,2022,M1,LI46,1,66.2
seed_yield,2022,M1,LI46,2,4.120071428571428
oil_content,2022,M1,LI46,2,52.6
seed_weight_1000,2022,M1,LI46,2,57.3
seed_yield,2022,M1,LI46,3,3.571438775510205
oil_content,2022,M1,LI46,3,52.3
seed_weight_1000,2022,M1,LI46,3,57.1
seed_yield,2022,M1,LI47,1,2.524775510204082
oil_content,2022,M1,LI47,1,51.1
seed_weight_1000,2022,M1,LI47,1,58.2
seed_yield,2022,M1,LI47,2,2.657938775510204
oil_content,2022,M1,LI47,2,50.3
seed_weight_1000,2022,M1,LI47,2,56.2
seed_yield,2022,M1,LI47,3,3.526163265306123
oil_content,2022,M1,LI47,3,50.8
seed_weight_1000,2022,M1,LI47,3,54.3
seed_yield,2022,M1,LI48,1,3.377020408163265
oil_content,2022,M1,LI48,1,49.0
seed_weight_1000,2022,M1,LI48,1,55.7
seed_yield,2022,M1,LI48,2,2.623316326530612
oil_content,2022,M1,LI48,2,50.1
seed_weight_1000,2022,M1,LI48,2,52.6
seed_yield,2022,M1,LI48,3,3.411642857142857
oil_content,2022,M1,LI48,3,50.6
seed_weight_1000,2022,M1,LI48,3,51.7
seed_yield,2022,M1,LI49,1,3.110693877551021
oil_content,2022,M1,LI49,1,51.0
seed_weight_1000,2022,M1,LI49,1,53.90000000000001
seed_yield,2022,M1,LI49,2,2.849693877551021
oil_content,2022,M1,LI49,2,50.7
seed_weight_1000,2022,M1,LI49,2,57.1
seed_yield,2022,M1,LI49,3,3.057428571428571
oil_content,2022,M1,LI49,3,51.0
seed_weight_1000,2022,M1,LI49,3,59.9
seed_yield,2022,M1,LI50,1,2.934918367346939
oil_content,2022,M1,LI50,1,50.9
seed_weight_1000,2022,M1,LI50,1,68.2
seed_yield,2022,M1,LI50,2,3.102704081632653
oil_content,2022,M1,LI50,2,49.0
seed_weight_1000,2022,M1,LI50,2,65.7
seed_yield,2022,M1,LI50,3,2.122622448979592
oil_content,2022,M1,LI50,3,47.1
seed_weight_1000,2022,M1,LI50,3,68.5
seed_yield,2022,M1,LI51,1,3.161295918367347
oil_content,2022,M1,LI51,1,48.8
seed_weight_1000,2022,M1,LI51,1,51.0
seed_yield,2022,M1,LI51,2,2.926928571428572
oil_content,2022,M1,LI51,2,50.9
seed_weight_1000,2022,M1,LI51,2,51.7
seed_yield,2022,M1,LI51,3,3.169285714285714
oil_content,2022,M1,LI51,3,50.4
seed_weight_1000,2022,M1,LI51,3,60.2
seed_yield,2022,M1,LI52,1,4.397051020408164
oil_content,2022,M1,LI52,1,51.6
seed_weight_1000,2022,M1,LI52,1,66.4
seed_yield,2022,M1,LI52,2,4.048163265306123
oil_content,2022,M1,LI52,2,51.5
seed_weight_1000,2022,M1,LI52,2,64.69999999999999
seed_yield,2022,M1,LI52,3,3.155969387755103
oil_content,2022,M1,LI52,3,51.1
seed_weight_1000,2022,M1,LI52,3,61.7
seed_yield,2022,M1,LI53,1,3.80580612244898
oil_content,2022,M1,LI53,1,50.6
seed_weight_1000,2022,M1,LI53,1,54.90000000000001
seed_yield,2022,M1,LI53,2,4.827168367346939
oil_content,2022,M1,LI53,2,50.3
seed_weight_1000,2022,M1,LI53,2,63.8
seed_yield,2022,M1,LI53,3,3.520836734693878
oil_content,2022,M1,LI53,3,52.4
seed_weight_1000,2022,M1,LI53,3,54.3
seed_yield,2022,M1,LI54,1,3.15330612244898
oil_content,2022,M1,LI54,1,52.6
seed_weight_1000,2022,M1,LI54,1,56.6
seed_yield,2022,M1,LI54,2,3.033459183673469
oil_content,2022,M1,LI54,2,49.9
seed_weight_1000,2022,M1,LI54,2,61.2
seed_yield,2022,M1,LI54,3,3.132
oil_content,2022,M1,LI54,3,49.6
seed_weight_1000,2022,M1,LI54,3,65.80000000000001
seed_yield,2022,M2,LI1,1,3.757867346938776
oil_content,2022,M2,LI1,1,48.5
seed_weight_1000,2022,M2,LI1,1,67.8
seed_yield,2022,M2,LI1,2,3.0015
oil_content,2022,M2,LI1,2,48.0
seed_weight_1000,2022,M2,LI1,2,60.3
seed_yield,2022,M2,LI1,3,3.454255102040817
oil_content,2022,M2,LI1,3,46.0
seed_weight_1000,2022,M2,LI1,3,68.0
seed_yield,2022,M2,LI2,1,3.387673469387756
oil_content,2022,M2,LI2,1,46.7
seed_weight_1000,2022,M2,LI2,1,65.5
seed_yield,2022,M2,LI2,2,2.990846938775511
oil_content,2022,M2,LI2,2,51.8
seed_weight_1000,2022,M2,LI2,2,65.69999999999999
seed_yield,2022,M2,LI2,3,2.932255102040816
oil_content,2022,M2,LI2,3,51.8
seed_weight_1000,2022,M2,LI2,3,64.0
seed_yield,2022,M2,LI3,1,2.844367346938776
oil_content,2022,M2,LI3,1,51.3
seed_weight_1000,2022,M2,LI3,1,50.0
seed_yield,2022,M2,LI3,2,2.916275510204082
oil_content,2022,M2,LI3,2,50.0
seed_weight_1000,2022,M2,LI3,2,56.0
seed_yield,2022,M2,LI3,3,2.940244897959184
oil_content,2022,M2,LI3,3,49.9
seed_weight_1000,2022,M2,LI3,3,50.90000000000001
seed_yield,2022,M2,LI4,1,2.551408163265306
oil_content,2022,M2,LI4,1,48.6
seed_weight_1000,2022,M2,LI4,1,65.7
seed_yield,2022,M2,LI4,2,2.59934693877551
oil_content,2022,M2,LI4,2,52.0
seed_weight_1000,2022,M2,LI4,2,55.3
seed_yield,2022,M2,LI4,3,3.446265306122449
oil_content,2022,M2,LI4,3,48.4
seed_weight_1000,2022,M2,LI4,3,68.0
seed_yield,2022,M2,LI5,1,2.972204081632653
oil_content,2022,M2,LI5,1,52.1
seed_weight_1000,2022,M2,LI5,1,63.0
seed_yield,2022,M2,LI5,2,2.223826530612245
oil_content,2022,M2,LI5,2,52.9
seed_weight_1000,2022,M2,LI5,2,58.1
seed_yield,2022,M2,LI5,3,2.636632653061225
oil_content,2022,M2,LI5,3,51.2
seed_weight_1000,2022,M2,LI5,3,65.1
seed_yield,2022,M2,LI6,1,4.213285714285714
oil_content,2022,M2,LI6,1,46.7
seed_weight_1000,2022,M2,LI6,1,68.2
seed_yield,2022,M2,LI6,2,4.234591836734695
oil_content,2022,M2,LI6,2,48.1
seed_weight_1000,2022,M2,LI6,2,64.5
seed_yield,2022,M2,LI6,3,3.960275510204081
oil_content,2022,M2,LI6,3,44.3
seed_weight_1000,2022,M2,LI6,3,75.6
seed_yield,2022,M2,LI7,1,1.858959183673469
oil_content,2022,M2,LI7,1,49.6
seed_weight_1000,2022,M2,LI7,1,71.6
seed_yield,2022,M2,LI7,2,2.623316326530612
oil_content,2022,M2,LI7,2,52.2
seed_weight_1000,2022,M2,LI7,2,62.7
seed_yield,2022,M2,LI7,3,2.89230612244898
oil_content,2022,M2,LI7,3,49.7
seed_weight_1000,2022,M2,LI7,3,68.80000000000001
seed_yield,2022,M2,LI8,1,2.796428571428572
oil_content,2022,M2,LI8,1,48.4
seed_weight_1000,2022,M2,LI8,1,64.7
seed_yield,2022,M2,LI8,2,2.64195918367347
oil_content,2022,M2,LI8,2,49.6
seed_weight_1000,2022,M2,LI8,2,54.5
seed_yield,2022,M2,LI8,3,2.945571428571429
oil_content,2022,M2,LI8,3,48.6
seed_weight_1000,2022,M2,LI8,3,62.9
seed_yield,2022,M2,LI9,1,2.330357142857143
oil_content,2022,M2,LI9,1,48.9
seed_weight_1000,2022,M2,LI9,1,64.1
seed_yield,2022,M2,LI9,2,1.960163265306123
oil_content,2022,M2,LI9,2,47.1
seed_weight_1000,2022,M2,LI9,2,60.90000000000001
seed_yield,2022,M2,LI9,3,2.287744897959184
oil_content,2022,M2,LI9,3,44.3
seed_weight_1000,2022,M2,LI9,3,67.0
seed_yield,2022,M2,LI10,1,2.551408163265306
oil_content,2022,M2,LI10,1,49.7
seed_weight_1000,2022,M2,LI10,1,70.5
seed_yield,2022,M2,LI10,2,2.735173469387755
oil_content,2022,M2,LI10,2,44.8
seed_weight_1000,2022,M2,LI10,2,80.4
seed_yield,2022,M2,LI10,3,2.791102040816327
oil_content,2022,M2,LI10,3,46.8
seed_weight_1000,2022,M2,LI10,3,73.4
seed_yield,2022,M2,LI11,1,4.747270408163265
oil_content,2022,M2,LI11,1,43.3
seed_weight_1000,2022,M2,LI11,1,70.0
seed_yield,2022,M2,LI11,2,2.831051020408163
oil_content,2022,M2,LI11,2,46.7
seed_weight_1000,2022,M2,LI11,2,77.1
seed_yield,2022,M2,LI11,3,2.676581632653061
oil_content,2022,M2,LI11,3,49.6
seed_weight_1000,2022,M2,LI11,3,60.3
seed_yield,2022,M2,LI12,1,4.008214285714286
oil_content,2022,M2,LI12,1,47.3
seed_weight_1000,2022,M2,LI12,1,78.19999999999999
