mother,mother_long,father,Y,SCA,trait
M1,VK101A,LI1,2.621984693877552,-0.0396726030034653,seed_yield
M1,VK101A,LI10,2.400489795918367,0.1084345398536772,seed_yield
M1,VK101A,LI11,3.080954081632653,-0.4399021948402004,seed_yield
M1,VK101A,LI12,3.6992755102040817,0.2735569888332692,seed_yield
M1,VK101A,LI13,2.710760204081633,-0.4051317866769346,seed_yield
M1,VK101A,LI14,3.735229591836735,0.4225518867924527,seed_yield
M1,VK101A,LI15,2.7125357142857145,-0.3443205621871388,seed_yield
M1,VK101A,LI16,3.756091836734696,0.156817192914902,seed_yield
M1,VK101A,LI17,3.43605612244898,-0.0088970927993843,seed_yield
M1,VK101A,LI18,3.6715331632653054,-0.1197185213708125,seed_yield
M1,VK101A,LI19,3.807137755102041,0.2054957643434733,seed_yield
M1,VK101A,LI2,3.2815867346938776,0.0363784174046979,seed_yield
M1,VK101A,LI20,2.6606020408163267,-0.4832542356565268,seed_yield
M1,VK101A,LI21,3.709484693877551,0.1631794378128601,seed_yield
M1,VK101A,LI22,3.097377551020408,0.020990662302657,seed_yield
M1,VK101A,LI23,3.601178571428571,0.1491233153638811,seed_yield
M1,VK101A,LI24,2.7231887755102044,-0.3685858683095877,seed_yield
M1,VK101A,LI25,3.919438775510204,0.3674370908740854,seed_yield
M1,VK101A,LI26,3.1905918367346944,0.025429437812861,seed_yield
M1,VK101A,LI27,3.5124030612244903,-0.0401164805544862,seed_yield
M1,VK101A,LI28,3.5132908163265304,0.3302253561802075,seed_yield
M1,VK101A,LI29,3.448928571428572,0.1555595398536775,seed_yield
M1,VK101A,LI3,3.054765306122449,-0.0676368887177512,seed_yield
M1,VK101A,LI30,2.994841836734694,0.1133171929149017,seed_yield
M1,VK101A,LI31,2.947790816326531,-0.0003154601463224,seed_yield
M1,VK101A,LI32,3.029464285714285,0.0982253561802073,seed_yield
M1,VK101A,LI33,3.1519744897959185,-0.3273052560646898,seed_yield
M1,VK101A,LI34,2.764913265306123,-0.2002083172891797,seed_yield
M1,VK101A,LI35,3.7383367346938776,0.4366080092414326,seed_yield
M1,VK101A,LI36,2.132387755102041,-0.4020246438197921,seed_yield
M1,VK101A,LI38,3.532821428571429,0.472710050057759,seed_yield
M1,VK101A,LI39,3.423183673469388,-0.0765144397381591,seed_yield
M1,VK101A,LI4,3.619821428571429,0.3963631112822487,seed_yield
M1,VK101A,LI40,2.9562244897959187,0.0446641316904119,seed_yield
M1,VK101A,LI41,3.806693877551021,0.1798988255679638,seed_yield
M1,VK101A,LI42,2.700107142857143,-0.4045399499422411,seed_yield
M1,VK101A,LI43,3.0729642857142867,-0.142060358105506,seed_yield
M1,VK101A,LI44,2.693892857142857,-0.2354226030034656,seed_yield
M1,VK101A,LI45,3.1035918367346937,-0.2090858683095886,seed_yield
M1,VK101A,LI46,3.5212806122448983,0.1421692337312285,seed_yield
M1,VK101A,LI47,2.967765306122449,-0.1013715825953021,seed_yield
M1,VK101A,LI48,3.070744897959184,-0.2022797458606087,seed_yield
