panel,n_lines,n_markers,removed_cr,removed_maf,missingness,PC1,PC2,PC3,corr_PC1_type,Bonferroni
call rate ≥ 0.9,54_lines,81903,530531,32127,0.0252882700900478,8.623046613007721,6.57913226345239,5.5734525287723775,0.4206958333710815,6.104782486600002e-07
call rate ≥ 0.9,52_lines,80410,528652,35499,0.0262945672658394,8.620501500415816,7.031095968663177,5.726279235480808,,6.218132073125234e-07
call rate ≥ 0.8,54_lines,100827,504713,39021,0.0479348748810301,8.291821398256126,6.362331841581195,5.409235854502186,0.401851432645135,4.958989159649698e-07
call rate ≥ 0.8,52_lines,99201,502453,42907,0.0500479601244714,8.30497617458133,6.773501719440403,5.575808460608692,,5.040271771453917e-07
call rate ≥ 0.5,54_lines,159407,432139,53015,0.1606664189894537,7.314933890501635,5.677243914485572,4.951452650734876,0.4156417960029304,3.1366251168392857e-07
call rate ≥ 0.5,52_lines,154967,432397,57197,0.1607613978360653,7.314143982332731,6.032779647909172,5.046226775183445,,3.2264933824620725e-07
full_coverage,54_lines,30988,596419,17154,0.0,8.663884791980486,6.935590444141189,6.146389267408559,0.7239479319220877,1.613527817219569e-06
full_coverage,52_lines,30079,595136,19346,0.0,7.878431103990727,7.231145356394792,6.366240043418387,,1.662289304830613e-06
