hybrid,seed_yield,oil_content,seed_weight_1000,oil_yield
VA761A_LI1,2.8394864342788977,47.01681180190474,70.93018567055803,1.3350359929455249
VA761A_LI10,2.818042744954525,46.9547265825145,72.14718215454754,1.3232042658717835
VA761A_LI11,3.567967823720969,47.04785441159986,66.75076353475198,1.6786523071569692
VA761A_LI12,3.3725584294552062,46.89264136312426,71.73084125213008,1.5814817290862462
VA761A_LI13,3.3656118822092824,49.23635839510574,63.69225921314681,1.6571047285128264
VA761A_LI14,3.019190591293007,48.66207011574604,64.47690168308739,1.4692006424630106
VA761A_LI15,3.359873430136563,48.38268662848997,67.13507821390655,1.6255970328168703
VA761A_LI16,3.4652797339986208,48.506857067270445,61.5465022545337,1.6808982875518004
VA761A_LI17,3.4975962798818303,49.56230579690449,57.271001448939,1.7334893637761883
VA761A_LI18,3.9162012573970495,49.158751870867945,61.70663337084812,1.9251556588876264
VA761A_LI19,3.203425105206632,50.26076451504466,56.07001807658099,1.610065948543727
VA761A_LI2,3.29977069526966,49.39157144358133,65.98213417644281,1.6298086004284744
VA761A_LI20,3.506959017474162,49.14323056602039,55.14125760195743,1.7234329558131705
VA761A_LI21,3.365913906002584,49.050102736935024,70.24162187040609,1.65098422893105
VA761A_LI22,3.1551012982784683,46.9547265825145,70.8821463356637,1.4814691880080202
VA761A_LI23,3.5350472302511573,48.41372923818509,67.82364201405852,1.711448194495757
VA761A_LI24,3.239063912816153,48.89488968845944,57.22296211404468,1.583736727110156
VA761A_LI25,3.5327820518014,46.59773657102064,71.66678880560433,1.646196474126714
VA761A_LI26,3.370549144898958,47.31576680000478,63.89335972043538,1.5948011732799463
VA761A_LI27,3.803244358702467,47.74631312974004,65.02134747855638,1.8159089605952528
VA761A_LI28,3.183189511055464,48.0256966169961,72.88378528959383,1.5287489373235386
VA761A_LI29,3.0880520161656406,41.46018466647846,91.84330946121985,1.280312068499186
VA761A_LI3,2.879051551201332,50.04346624717883,49.26444563321865,1.440777191264317
VA761A_LI30,3.301582838029465,39.53554286538108,93.95704019656996,1.3052986981652044
VA761A_LI31,3.1079855865235086,47.46692964248397,58.96839128187176,1.4752653316536566
VA761A_LI32,3.2441983173022706,49.62439101629472,63.70827232477824,1.6099136583221323
VA761A_LI33,3.5504504437095097,48.64654881089848,68.19194358158165,1.7271716081059083
VA761A_LI34,3.173826773463132,47.69974921519736,69.20076961436243,1.513907411466704
VA761A_LI35,3.139698084820116,47.71527052004492,58.72819460740013,1.4981154346845875
VA761A_LI36,2.786028222864616,46.79951353403891,67.80762890242708,1.3038476552216696
VA761A_LI37,3.5444099678434893,47.59110008126444,54.29256268549104,1.6868236950867077
VA761A_LI38,2.9581817850462,48.94145360300211,53.79615622491634,1.4477771658208456
VA761A_LI39,3.3559471208236498,48.61550620120336,66.04618662296858,1.631510680633127
VA761A_LI4,3.259903554553924,49.91929580839835,61.3063055800621,1.6273208984662657
VA761A_LI40,3.155403322071769,49.59334840659961,54.59681180648835,1.564870163148471
VA761A_LI41,3.567967823720969,50.338371039282464,57.01479166283592,1.7960568816668732
VA761A_LI42,3.1922502248544946,49.53126318720937,50.20921921947354,1.5811618604669626
VA761A_LI43,3.2798371249117912,48.84832577391676,54.38864135527972,1.602145523630777
VA761A_LI44,3.27349462525247,48.5999848963558,53.49190710391897,1.590917893455719
VA761A_LI45,3.5755184185534947,50.22972190534954,68.8004418235764,1.795972958313972
VA761A_LI46,2.9572757136662973,49.779604064770325,65.35762282281661,1.4721201413666938
VA761A_LI47,3.557094967162132,48.910410993307,59.688981305286575,1.7397897678612373
VA761A_LI48,3.405479022925018,47.97913270245343,57.59126368156781,1.6339192995634086
VA761A_LI49,2.9300935722692047,49.764082759922765,51.13797969409717,1.4581341902472245
VA761A_LI5,2.954557499526588,51.36277715922138,57.97557836072241,1.5175427845229046
VA761A_LI50,3.2931261718170366,47.032333106752304,74.26091288989772,1.5488340707546289
VA761A_LI51,3.3033949807892715,48.32060140909973,64.2847443435101,1.5962203216353903
VA761A_LI52,3.1333555851607944,48.118824446081454,69.71318918656853,1.507733873295011
VA761A_LI53,3.6084390120233065,48.522378372118006,63.13180030604634,1.7509004307410654
VA761A_LI54,3.1578195124181776,46.84607744858158,69.42495317720261,1.4793145744738407
VA761A_LI6,3.880864473580831,48.63102750605092,64.50892790635025,1.887304269619652
VA761A_LI7,2.755221795947912,49.06562404178258,61.41839736148217,1.3518667679170526
VA761A_LI8,3.08774999237234,48.73967663998384,53.97230045286216,1.5049593617334045
VA761A_LI9,2.799317269769861,46.90816266797182,64.28474434351007,1.313108298496274
VK101A_LI1,2.8150225070215145,47.59110008126444,71.53868391255278,1.3397001786267282
VK101A_LI10,2.664312634164303,50.75744627016656,67.24716999532664,1.3523370537552055
VK101A_LI11,3.127315109294774,51.61111803678234,62.29911850121141,1.6140422924402542
VK101A_LI12,3.548034253363101,48.553420981813126,66.76677664638342,1.7226920076143168
VK101A_LI13,2.8754272656817195,50.33837103928246,66.95893398596071,1.4474432459635582
VK101A_LI14,3.5724981806204847,50.3228497344349,63.45206253867517,1.7977828911990672
VK101A_LI15,2.876635360854924,49.85721058900812,65.16546548323933,1.4342101497393127
VK101A_LI16,3.5866932989056326,51.37829846406893,64.22069189698433,1.842781988102496
VK101A_LI17,3.368934143935594,52.24749153553227,56.34224097431544,1.760183581690406
VK101A_LI18,3.5291577662817875,52.48031110824567,58.21577503519403,1.852112975245496
VK101A_LI19,3.6214260351352494,52.464789803398105,56.83864743489016,1.8999735572192435
VK101A_LI2,3.263829863866837,52.72865198580661,59.72100752854942,1.7209734903271707
