trait,input,n,s2_line,s2_tester_x_line,s2_year_x_line,s2_year_x_tester_x_line,s2_error,baker
seed_yield,plots,963,0.0199759596796475,0.0509483580939844,0.0758185451114145,0.029533946179698,0.2578473165258121,0.4395137229347775
seed_yield,combination_year_means,321,0.0199759587418196,0.0509483578745337,0.0758185456241483,0.0511137436258054,0.0643693087190616,0.4395137124306543
oil_content,plots,957,3.987538704370829,0.3520954737889959,0.1688519003671532,0.0909000645477214,2.129856497153445,0.9577172854754046
oil_content,combination_year_means,321,4.05226345786916,0.3705417570834334,0.1618441492342701,0.7176828844029726,0.0874552795558719,0.9562786130250832
seed_weight_1000,plots,962,74.0383067116389,7.608239340104748,0.351426468277808,7.0749479009743,25.38318250282072,0.9511305100974202
seed_weight_1000,combination_year_means,321,74.03139901535617,7.563520633593734,0.3524908877190256,12.09917545397937,3.4891610617693343,0.9513994760108112
plant_height,plots,806,70.48829995907064,10.151189381145102,7.852777418858866,7.649943859110974,52.36742214607868,0.932830424978677
plant_height,combination_year_means,322,72.51634421075698,9.971195219304889,8.497398131227195,24.67481632198191,4.250417017745963,0.9356713200656924
head_diameter,plots,804,0.2891066405136783,0.1433716447048737,0.2102474370215926,0.2846689037048365,1.872647141624211,0.8013100889553826
head_diameter,combination_year_means,322,0.2800074763742393,0.1513390521169178,0.21027697259665,0.2617561925666835,0.8361332511694171,0.7872521261118725
days_emergence_flowering,combination_year_means,318,2.410205238657112,0.1329522737851521,0.1062134583224364,0.9612175657586448,0.2176882281379446,0.9731591889256154
