hybrid,seed_yield,oil_content,seed_weight_1000,oil_yield,plant_height,head_diameter
VA761A_LI1,2.8394864342788977,47.01681180190474,70.93018567055803,1.3350359929455249,155.0803250098449,19.028628316128387
VA761A_LI10,2.818042744954525,46.9547265825145,72.14718215454754,1.3232042658717835,131.38230699774152,17.54251548499919
VA761A_LI11,3.567967823720969,47.04785441159986,66.75076353475198,1.6786523071569692,161.11154987190622,18.53993353068968
VA761A_LI12,3.3725584294552062,46.89264136312426,71.73084125213008,1.5814817290862462,165.50233035793667,17.89101094674647
VA761A_LI13,3.3656118822092824,49.23635839510574,63.69225921314681,1.6571047285128264,147.6098998773625,17.975130540961327
VA761A_LI14,3.019190591293007,48.66207011574604,64.47690168308739,1.4692006424630106,152.23851430638626,18.20345515383024
VA761A_LI15,3.359873430136563,48.38268662848997,67.13507821390655,1.6255970328168703,151.18350732849282,18.852377737773445
VA761A_LI16,3.4652797339986208,48.506857067270445,61.5465022545337,1.6808982875518004,160.93469899121885,18.81232078814732
VA761A_LI17,3.4975962798818303,49.56230579690449,57.271001448939,1.7334893637761883,163.37402148345802,19.020616926203164
VA761A_LI18,3.9162012573970495,49.158751870867945,61.70663337084812,1.9251556588876264,167.4964764953422,19.086710893086263
VA761A_LI19,3.203425105206632,50.26076451504466,56.07001807658099,1.610065948543727,167.4598866579586,18.461822478918734
VA761A_LI2,3.29977069526966,49.39157144358133,65.98213417644281,1.6298086004284744,159.1440145253251,18.38917373846045
VA761A_LI20,3.506959017474162,49.14323056602039,55.14125760195743,1.7234329558131705,160.72735657937852,19.008599841315327
VA761A_LI21,3.365913906002584,49.050102736935024,70.24162187040609,1.65098422893105,151.72625658301604,17.74680592809242
VA761A_LI22,3.1551012982784683,46.9547265825145,70.8821463356637,1.4814691880080202,147.35377101567735,17.548524027443108
VA761A_LI23,3.5350472302511573,48.41372923818509,67.82364201405852,1.711448194495757,158.733210441973,17.951096371185656
VA761A_LI24,3.239063912816153,48.89488968845944,57.22296211404468,1.583736727110156,156.2816913372727,18.35967725737212
VA761A_LI25,3.5327820518014,46.59773657102064,71.66678880560433,1.646196474126714,163.1239909280035,18.588001870241023
VA761A_LI26,3.370549144898958,47.31576680000478,63.89335972043538,1.5948011732799463,145.65653840625893,18.28360353759592
VA761A_LI27,3.803244358702467,47.74631312974004,65.02134747855638,1.8159089605952528,151.92750068862577,18.37169434225996
VA761A_LI28,3.183189511055464,48.0256966169961,72.88378528959383,1.5287489373235386,150.99445983534432,18.6120360400167
