father,seed_yield,oil_content,seed_weight_1000,oil_yield,selection_index_prod
LI18,0.3848225653972719,1.2115590500196092,-0.7687866944361446,0.2312292856621325,0.8243748541608292
LI41,0.2730234245770098,1.66433258971108,-2.850491206523444,0.1920489438277097,0.6823498350671604
LI19,0.255808068358851,1.7754997928142586,-5.311172693888153,0.1878220552888114,0.6418156546408184
LI6,0.3227566758739124,0.3992774296639965,1.5584521959999478,0.1708433550070864,0.6218115694778336
LI53,0.3019673714350253,0.8597428068082564,-2.3220585226858788,0.1776926637607281,0.6126722143823393
LI16,0.2541972747945795,0.7924838191354979,-1.3083839794109906,0.1525769620361425,0.5339570230976078
LI11,0.2008397379780646,0.3734085882513938,2.359107777571964,0.1078245343547608,0.4225373455229069
LI39,0.1864432704973828,0.6993559900501438,-0.5926424664902896,0.1151289746307389,0.4142038795826716
LI17,0.1491936693235902,1.3874671716252749,-5.129690762065195,0.1195588477666138,0.4049538401575915
LI46,0.1043934733172711,1.4495523910155157,-0.1496130446871006,0.0997134963105335,0.3977050096195615
LI25,0.2220317408080205,-0.4854369466468995,8.19321811529359,0.0915101557760333,0.3936205219518892
LI33,0.1725501760055356,0.3216709054261955,4.542228663325076,0.0943319792968067,0.3926259462770891
LI45,0.0591905789198845,1.8701597017405616,-0.747435878927547,0.0890451491327355,0.3798816244103148
LI21,0.2181557687939905,-0.4802631783643747,7.488641203510198,0.0906234833647694,0.379659044937559
LI23,0.1540260500164065,-0.3716140444314604,10.365663593292396,0.0635463734215115,0.3225244151219635
LI37,0.2081955437563989,0.2336430763395185,-8.41907281320539,0.1087432896377174,0.2869794685093542
LI27,0.222384101900205,-0.7596466656204441,0.1065967414159558,0.082669137032221,0.2570469460487191
LI2,0.0132829623381289,1.423683549602913,-1.3185701937822645,0.0524635366852415,0.2270658408552779
LI8,0.0716742290429937,0.9011329530684122,-6.06912664444306,0.0667674014661237,0.1885927080670832
LI52,0.0317064137294913,0.5907068561172295,3.608130484824344,0.0359265770900911,0.186871085944647
LI14,0.0591905789198845,0.5648380147046268,-1.5267406449909942,0.0486925629977701,0.1688409607652305
LI20,0.0869617899276025,0.6340435527299633,-8.047391735587723,0.0610700565855069,0.1497619840038133
LI4,-0.0015162035336211,1.0149558552838511,-3.3255468515895217,0.0328223848199695,0.1154852144612586
LI54,0.1651002557707772,-1.3908463960878592,3.181114174652606,0.0336201999591327,0.0992768121234169
LI13,-0.0747066361102364,0.9942607821537734,2.3591077775719924,-0.0064497396685487,0.0560303719977544
LI12,0.1361059716138788,-1.7064462613215667,5.956720190769019,0.0100519397598082,0.0343097964236636
LI7,-0.0782302470320814,1.2477754279972402,-3.902018870321399,0.0029775081100589,0.0159689319771773
LI51,-0.0263828291820722,0.6010543926822649,-4.329035180493136,0.0051825209599183,-0.0020375551649795
LI48,0.0322097867183259,-0.0146240329375899,-6.565533105017742,0.0139378200697484,-0.0251210264496924
LI28,-0.0290003687240147,-0.0818830206103555,2.3644454814491382,-0.0164107969546405,-0.0336429683428135
LI26,0.0194590734675363,-0.6962113775647367,0.8888825633831772,-0.0140981405427624,-0.0646117351932255
LI35,0.0517406586851261,-0.8941646409659612,-1.702884872936849,-0.0042479465468832,-0.0714099161361185
LI38,-0.1126609594683984,1.5271589152533167,-10.472732343089284,-0.007239879671304,-0.0756001694464935
LI3,-0.0702769538084879,0.9476968676110856,-9.271748970731204,-0.0058518089608023,-0.0800134777995353
LI50,-0.0012141797403204,-1.2718497255899095,8.33733611997657,-0.0427051078619451,-0.1010829540763463
LI42,-0.0823579055405288,0.9942607821537734,-10.744955240823792,-0.0101764591119428,-0.1103517269067056
LI24,-0.0911165955462589,0.352713515121323,-5.407251363676828,-0.0345337162878327,-0.161749019393147
LI15,-0.1148758006192722,0.1561103203855651,0.5603015709734507,-0.05317766479046,-0.162122037236631
LI32,-0.2003485341234623,1.4288573178854378,-4.558556447210464,-0.0561168252596013,-0.1687054696097769
LI40,-0.2137382556264748,1.7754997928142586,-7.942660705321629,-0.0524744200982136,-0.1772136532743209
LI43,-0.0072546556063408,-0.4181779589741339,-8.818044141173736,-0.0181760661479313,-0.1801822332300741
LI47,-0.1065198090046113,-0.0197978012201076,-3.73655005012985,-0.0523609280881935,-0.2256507797081802
LI22,-0.1015867537140278,-0.8889908726834364,5.0279597161454745,-0.0781126827812759,-0.2491259389699325
LI5,-0.3570988828466945,2.5256961937796447,-4.521192520070443,-0.1039411854198801,-0.2617330452681216
LI34,-0.177294051234818,-0.3457452030188577,4.376759843133513,-0.0986737286030363,-0.2998105345946893
LI49,-0.2696126573871642,1.3771196350602397,-11.284063332415627,-0.0918042522949273,-0.3717792773277376
LI31,-0.1888716299780242,-0.7335748528213415,-0.4912260928245047,-0.1155024436630625,-0.4362727778564513
LI44,-0.201657303894434,0.2906282957310679,-12.20748610316206,-0.0917261206815214,-0.4365872689445806
LI9,-0.1735690911174385,-1.1890694330695908,-2.9999469150835694,-0.1213164147139838,-0.5104365072378563
LI29,0.0460525439112897,-8.296981886356278,34.48674741411955,-0.2502806710641847,-0.8020114496547142
LI1,-0.3837776512549515,-2.125521492205678,9.55967030784322,-0.2494935726896474,-0.8609927738998974
LI36,-0.4703578053345785,-1.261502189024867,3.859002567050268,-0.2671066674236795,-0.9394749246562264
LI10,-0.6352627964769377,-0.645823763405005,7.632759208193178,-0.328829739595774,-1.0768392092877892
LI30,-0.234175198973177,-8.308174589816858,30.02976467670176,-0.3676142158883899,-1.3263644699194954
