trait,input,n,s2_line,s2_tester_x_line,s2_year_x_line,s2e,baker_REML,baker_moments
seed_yield,after_QC_paper,963,0.0199759618603326,0.0509483598224098,0.0758185442416587,0.2578473146089062,0.4395137414696085,0.4388838583560829
seed_yield,no_QC_workbook,963,0.0199759618603326,0.0509483598224098,0.0758185442416587,0.2578473146089062,0.4395137414696085,0.4388838583560829
oil_content,after_QC_paper,957,3.9875387441377694,0.3520954870532093,0.1688518798838451,2.1298565403484795,0.9577172843537204,0.9559898305280644
oil_content,no_QC_workbook,963,3.655213643675223,0.3108420904573307,0.129036414139631,2.734583547599227,0.9592138691013252,0.9582305777390744
seed_weight_1000,after_QC_paper,962,74.03830270085396,7.608239987575448,0.351426086403649,25.38318180876699,0.9511305036238348,0.9519986605495304
seed_weight_1000,no_QC_workbook,963,74.17309764206165,8.543429784493345,0.3289333693066373,31.502674435776736,0.9455449665281764,0.946422875437667
