taxa,PC1,PC2,PC3,PC4,PC5
1,3.23648457367051,-1.82987089302711,14.4663569311721,2.27466758097237,-1.70250981521294
2,-5.53439585053562,5.41306702753223,6.50873106213622,-1.10396996215419,-12.4320376469192
3,7.01689482608477,4.48814175511277,7.54202932368239,-1.98291454339453,2.90586253585965
4,9.4725129233714,10.6068818031035,5.37734503505606,-3.11114561551861,-9.60479493475299
5,4.37977432041234,1.51983104569871,12.4284472624127,-1.13191315146601,-4.28102747583158
6,-11.5030552580635,-9.08699540686128,2.9079750837843,-5.93660730437812,0.747910586017556
7,-4.30752974069233,-7.66440569440805,-4.67558136537289,5.31850384543296,7.35816477284961
8,7.72888759535115,-13.0096981211918,6.39201022183179,4.50360903492139,3.21286266057524
9,7.43575458181619,10.348379883897,4.6723881301708,-2.04347284332605,-5.2203552743173
10,7.30062493684127,8.97215156245269,6.868783812964,-3.02910591266347,4.6070661654198
11,8.50403623915438,11.0143381545223,8.0338047818744,-4.67369930911947,1.4219837304341
12,9.0622219826871,7.52598764346228,5.17796997620973,-2.46168896392007,2.50071235376503
13,5.16068528621043,3.35629900480781,7.42137542212496,0.270024480871273,-5.77944784826811
14,13.6431780789178,7.22126036753825,-1.68522331719084,-4.22927024770572,2.05080481787047
15,1.49277099749927,13.0285881330283,-9.01994304274779,3.12345005623597,0.479145371887272
16,17.4906727768072,0.596009128841978,-6.68274297071891,0.879160725597529,-0.333224886160215
17,17.9608970037119,-15.753311278778,-5.33173626854485,1.39489105200229,-2.28549333413352
18,19.2729125099459,-3.50824830714038,-9.25246654731681,2.95480625203625,1.35394175334934
19,16.5966622040686,-13.931796109219,-3.49980345995804,3.70615507000133,-2.00386191303621
20,-8.5678848060286,-3.33486138455783,-7.74021055261743,-15.0099585662599,-6.14504094605616
21,5.63942704195644,4.60622871098904,5.06949702673379,1.83143853016708,5.06322099765497
22,-4.75819485303662,7.476969851673,-0.473197348574248,-0.00857003698612874,10.1129427982197
23,3.709982948431,-1.18689198731111,14.3851067933148,-2.15325173636387,2.08341239498549
24,17.266618882613,-10.9389246687112,-2.27524440399964,1.24327860285878,-4.11277424870741
25,2.34959070017568,-9.71450008111266,6.90487954827033,-1.65603844722685,-0.672056898230307
26,-6.21086586572311,-0.719093540127693,-8.04426954065742,-7.52600394812986,-5.71001844305772
27,-4.36474183359464,-0.731957753926842,-10.9784024986599,-9.18858409504555,-4.79546605355024
28,-0.226833552279458,-12.1124240378708,-3.58339445217477,-2.13974441840624,-1.50044067513103
29,-8.56118380913878,-2.64146318802969,6.38245070541056,8.31134762492811,4.38777329002821
30,-9.76236835421689,-3.31541081220443,7.78081586801645,7.8600469786851,8.39971601242144
31,-4.22799254373029,-1.48162795919153,2.01611984515248,0.733261085182368,3.0942260819999
32,-3.05377190683749,3.38176756859629,-2.9810967632981,-5.67725452815797,-3.35725554189058
33,-2.9367306541461,8.52725669604954,-3.11876625069311,0.942714089169535,3.47219458219285
34,-8.73881337529036,-4.31819671888673,5.87810762262496,0.048753169827304,4.71981188940213
35,-8.41934443247718,0.693572982833517,-8.73760386780242,-16.4349175401904,-7.08068637934324
36,0.338420052744848,10.223168708871,-3.6854889102131,-2.91040806041957,6.47386270061525
37,-8.98372201871907,-5.23644419017584,1.12267538559392,3.73906149786688,5.52125960106602
38,-5.61702359733469,-0.667427921719686,2.29620853096894,1.0005058818921,3.02361643879696
39,-9.64203188004631,-11.03739449431,3.20161721612185,-2.53236278739742,0.936993333806376
40,-4.91781876085282,-5.34283059988909,0.779540924816062,-10.5982518880165,-5.75540513566715
41,-7.64129787408868,1.58394907507478,-3.28184286142171,17.6167478922375,-14.1738633255869
42,-8.60110320097026,-0.101896167904338,2.05546085993103,-0.0634750089142904,3.4647479730035
43,-7.34351802068765,3.52284586690633,8.57862148663345,-0.247723819738533,-11.5191093425531
44,-7.29748458677071,-1.48174804706432,-9.54417039679182,-4.21538090840629,4.22111666014849
45,-5.63344848934492,7.80979331928416,-7.61745731561043,16.0841577777068,-9.66172368043101
46,-7.77955227093393,5.11900518084485,-6.5896235875229,18.1223163375489,-10.3029436283951
47,-2.76459457272999,-11.0777113233424,-2.64038907587319,3.37784848168459,3.11497664348275
48,-5.73896673293477,5.22203834751022,-2.09604409164035,0.479009949954234,5.16815043399841
49,5.52194357207299,10.882953960425,-16.7281636762887,1.9781395457155,7.39413319987579
50,-3.6726379565934,5.66781758357556,-2.37924263046129,2.15306472959288,7.58395729613016
51,2.65125947509277,-6.37077304672556,-15.6975423186739,2.425624635481,4.24330265299306
52,-4.74584524980203,-2.01395072651327,-0.772264666871291,-3.17335760651982,-3.45434812810995
53,-5.20002162105877,7.9957052915012,-0.871912604994213,-0.535202500345773,11.7237143198854
54,-6.47943984097802,-8.19415419393179,5.73550592968212,1.40168884160119,1.04230150660693
